! ................ store .................    6.1.0010 CORE ............ 25
# ................ number-sign ...........    6.1.0030 CORE ............ 25
#> ............... number-sign-greater ...    6.1.0040 CORE ............ 25
#S ............... number-sign-s .........    6.1.0050 CORE ............ 25
OF ............... .......................    6.2.1950 CORE EXT ........ 54
PAD .............. .......................    6.2.2000 CORE EXT ........ 55
PARSE ............ .......................    6.2.2008 CORE EXT ........ 55
PICK ............. .......................    6.2.2030 CORE EXT ........ 55
QUERY ............ .......................    6.2.2040 CORE EXT ........ 55
REFILL ........... .......................    6.2.2125 CORE EXT ........ 55
RESTORE-INPUT .... .......................    6.2.2148 CORE EXT ........ 56
ROLL ............. .......................    6.2.2150 CORE EXT ........ 56
SAVE-INPUT ....... .......................    6.2.2182 CORE EXT ........ 56
SOURCE-ID ........ source-i-d ............    6.2.2218 CORE EXT ........ 56
SPAN ............. .......................    6.2.2240 CORE EXT ........ 56
TIB .............. t-i-b .................    6.2.2290 CORE EXT ........ 56
TO ............... .......................    6.2.2295 CORE EXT ........ 57
TRUE ............. .......................    6.2.2298 CORE EXT ........ 57
TUCK ............. .......................    6.2.2300 CORE EXT ........ 57
U.R .............. u-dot-r ...............    6.2.2330 CORE EXT ........ 57
U> ............... u-greater-than ........    6.2.2350 CORE EXT ........ 57
UNUSED ........... .......................    6.2.2395 CORE EXT ........ 57
VALUE ............ .......................    6.2.2405 CORE EXT ........ 58
WITHIN ........... .......................    6.2.2440 CORE EXT ........ 58
[COMPILE] ........ bracket-compile .......    6.2.2530 CORE EXT ........ 58
\ ................ backslash .............    6.2.2535 CORE EXT ........ 58
BLK .............. b-l-k .................  7.6.1.0790 BLOCK ........... 62
BLOCK ............ .......................  7.6.1.0800 BLOCK ........... 62
BUFFER ........... .......................  7.6.1.0820 BLOCK ........... 62
EVALUATE ......... .......................  7.6.1.1360 BLOCK ........... 63
FLUSH ............ .......................  7.6.1.1559 BLOCK ........... 63
LOAD ............. .......................  7.6.1.1790 BLOCK ........... 63
SAVE-BUFFERS ..... .......................  7.6.1.2180 BLOCK ........... 63
UPDATE ........... .......................  7.6.1.2400 BLOCK ........... 63
EMPTY-BUFFERS .... .......................  7.6.2.1330 BLOCK EXT ....... 63
LIST ............. .......................  7.6.2.1770 BLOCK EXT ....... 64
REFILL ........... .......................  7.6.2.2125 BLOCK EXT ....... 64
SCR .............. s-c-r .................  7.6.2.2190 BLOCK EXT ....... 64
THRU ............. .......................  7.6.2.2280 BLOCK EXT ....... 64
\ ................ backslash .............  7.6.2.2535 BLOCK EXT ....... 64
2CONSTANT ........ two-constant ..........  8.6.1.0360 DOUBLE .......... 66
2LITERAL ......... two-literal ...........  8.6.1.0390 DOUBLE .......... 66
2VARIABLE ........ two-variable ..........  8.6.1.0440 DOUBLE .......... 67
D+ ............... d-plus ................  8.6.1.1040 DOUBLE .......... 67
D- ............... d-minus ...............  8.6.1.1050 DOUBLE .......... 67
D. ............... d-dot .................  8.6.1.1060 DOUBLE .......... 67
D.R .............. d-dot-r ...............  8.6.1.1070 DOUBLE .......... 67
D0< .............. d-zero-less ...........  8.6.1.1075 DOUBLE .......... 67
D0= .............. d-zero-equals .........  8.6.1.1080 DOUBLE .......... 67
D2* .............. d-two-star ............  8.6.1.1090 DOUBLE .......... 68
D2/ .............. d-two-slash ...........  8.6.1.1100 DOUBLE .......... 68
D< ............... d-less-than ...........  8.6.1.1110 DOUBLE .......... 68
D= ............... d-equals ..............  8.6.1.1120 DOUBLE .......... 68
D>S .............. d-to-s ................  8.6.1.1140 DOUBLE .......... 68
DABS ............. d-abs .................  8.6.1.1160 DOUBLE .......... 68
DMAX ............. d-max .................  8.6.1.1210 DOUBLE .......... 68
DMIN ............. d-min .................  8.6.1.1220 DOUBLE .......... 69
DNEGATE .......... d-negate ..............  8.6.1.1230 DOUBLE .......... 69
M*/ .............. m-star-slash ..........  8.6.1.1820 DOUBLE .......... 69
M+ ............... m-plus ................  8.6.1.1830 DOUBLE .......... 69
2ROT ............. two-rote ..............  8.6.2.0420 DOUBLE EXT ...... 69
DU< .............. d-u-less ..............  8.6.2.1270 DOUBLE EXT ...... 69
CATCH ............ .......................  9.6.1.0875 EXCEPTION ....... 72
THROW ............ .......................  9.6.1.2275 EXCEPTION ....... 73
ABORT ............ .......................  9.6.2.0670 EXCEPTION EXT ... 73
ABORT" ........... abort-quote ...........  9.6.2.0680 EXCEPTION EXT ... 73
AT-XY ............ at-x-y ................ 10.6.1.0742 FACILITY ........ 75
KEY? ............. key-question .......... 10.6.1.1755 FACILITY ........ 75
PAGE ............. ....................... 10.6.1.2005 FACILITY ........ 75
EKEY ............. e-key ................. 10.6.2.1305 FACILITY EXT .... 76
EKEY>CHAR ........ e-key-to-char ......... 10.6.2.1306 FACILITY EXT .... 76
EKEY? ............ e-key-question ........ 10.6.2.1307 FACILITY EXT .... 76
EMIT? ............ emit-question ......... 10.6.2.1325 FACILITY EXT .... 76
MS ............... ....................... 10.6.2.1905 FACILITY EXT .... 76
TIME&DATE ........ time-and-date ......... 10.6.2.2292 FACILITY EXT .... 76
( ................ paren ................. 11.6.1.0080 FILE ............ 80
BIN .............. ....................... 11.6.1.0765 FILE ............ 80
CLOSE-FILE ....... ....................... 11.6.1.0900 FILE ............ 80
CREATE-FILE ...... ....................... 11.6.1.1010 FILE ............ 81
DELETE-FILE ...... ....................... 11.6.1.1190 FILE ............ 81
FILE-POSITION .... ....................... 11.6.1.1520 FILE ............ 81
FILE-SIZE ........ ....................... 11.6.1.1522 FILE ............ 81
INCLUDE-FILE ..... ....................... 11.6.1.1717 FILE ............ 81
INCLUDED ......... ....................... 11.6.1.1718 FILE ............ 82
OPEN-FILE ........ ....................... 11.6.1.1970 FILE ............ 82
R/O .............. r-o ................... 11.6.1.2054 FILE ............ 82
R/W .............. r-w ................... 11.6.1.2056 FILE ............ 83
READ-FILE ........ ....................... 11.6.1.2080 FILE ............ 83
READ-LINE ........ ....................... 11.6.1.2090 FILE ............ 83
REPOSITION-FILE .. ....................... 11.6.1.2142 FILE ............ 84
RESIZE-FILE ...... ....................... 11.6.1.2147 FILE ............ 84
S" ............... s-quote ............... 11.6.1.2165 FILE ............ 84
SOURCE-ID ........ source-i-d ............ 11.6.1.2218 FILE ............ 84
W/O .............. w-o ................... 11.6.1.2425 FILE ............ 85
WRITE-FILE ....... ....................... 11.6.1.2480 FILE ............ 85
WRITE-LINE ....... ....................... 11.6.1.2485 FILE ............ 85
FILE-STATUS ...... ....................... 11.6.2.1524 FILE EXT ........ 85
FLUSH-FILE ....... ....................... 11.6.2.1560 FILE EXT ........ 85
REFILL ........... ....................... 11.6.2.2125 FILE EXT ........ 86
